ID,Name,Category,Pictures,Price,Featured,Status,Updated,ImageLinks,DescriptionSummary
011,011 Antique Pair French Sèvres Style Porcelain Gilt Mounted Urns Vases Centerpieces,Porcelain - Antiques in Dublin Ireland,9 x,"€1,875.00",No,1,07/07/2023,"['https://file.4pm.ie/932/4b8a4017.jpg', 'https://file.4pm.ie/932/dd26de1c.jpg', 'https://file.4pm.ie/932/ae4df4ac.jpg', 'https://file.4pm.ie/932/982989cc.jpg', 'https://file.4pm.ie/932/5b63dc68.jpg', 'https://file.4pm.ie/932/6bc7f445.jpg', 'https://file.4pm.ie/932/6fe1587e.jpg', 'https://file.4pm.ie/932/be804751.jpg', 'https://file.4pm.ie/932/71385c5a.jpg']","Height: 14.25 (36cm), Width: 6.75 (17cm); Materials: Porcelain"
012,012 Sold Pair French Mahogany and Marble Open Bookcases Circa 1910,Recently Sold,4 x,"€2,950.00",No,2,16/01/2024,"['https://file.4pm.ie/929/9a5131e2.jpg', 'https://file.4pm.ie/929/99f44ec9.jpg', 'https://file.4pm.ie/929/12ee9920.jpg', 'https://file.4pm.ie/929/99307e9d.jpg']","Height: 42 (107cm), Depth: 9 (23cm), Width: 30 (77cm); Materials: Mahogany, Marble, Oak"
013,013 Portrait of a Lady - Edward Hayes RHA (1797-1864) - Framed Watercolour and Pencil,Paintings and Engravings - Antique Shop Ireland,5 x,€550.00,No,1,18/08/2020,"['https://file.4pm.ie/904/496ebc19.jpg', 'https://file.4pm.ie/904/72f49ab1.jpg', 'https://file.4pm.ie/904/82a414b7.jpg', 'https://file.4pm.ie/904/17806ded.jpg', 'https://file.4pm.ie/904/840b5eac.jpg']","Height: 15 (38cm), Width: 13.5 (34.5cm), Height: 7 (17.75cm), Width: 6 (15cm); Provenance: Ireland"
014,"014 Daniel Van der Putten - Castle Monaparson 2010, Mallow, Cork - Oil Painting on Panel",Paintings of Ireland,3 x,"€5,950.00",No,1,10/11/2023,"['https://file.4pm.ie/935/120ae4d0.jpg', 'https://file.4pm.ie/935/238fbca2.jpg', 'https://file.4pm.ie/935/8b732ea6.jpg']","Height: 13 (33cm), Width: 18 (46cm); Provenance: Ireland; Features: Rare piece"
015,015 Sold Regency Twin Door Cabinet - Mahogany - Irish - Circa 1820,Recently Sold,6 x,"€3,250.00",No,2,26/01/2019,"['https://file.4pm.ie/745/d452d757.jpg', 'https://file.4pm.ie/745/1a6e6859.jpg', 'https://file.4pm.ie/745/4be4ef94.jpg', 'https://file.4pm.ie/745/d996f0d9.jpg', 'https://file.4pm.ie/745/78ff01b1.jpg', 'https://file.4pm.ie/745/807b357a.jpg']","Height: 35.5 (90cm), Width: 53.25 (135cm), Depth: 16 (42cm); Materials: Mahogany"
016,016 Pair Classical Carved Gilt Wood Busts - Italian Circa 1760,Newest Listings - Art and Antique Gallery Dublin,8 x,"€1,100.00",No,1,13/12/2024,"['https://file.4pm.ie/946/149bf3a9.jpg', 'https://file.4pm.ie/946/1eaee379.jpg', 'https://file.4pm.ie/946/fb626c47.jpg', 'https://file.4pm.ie/946/2aa60dea.jpg', 'https://file.4pm.ie/946/ec7e52c7.jpg', 'https://file.4pm.ie/946/d314dd1f.jpg', 'https://file.4pm.ie/946/fdade60c.jpg', 'https://file.4pm.ie/946/5e8a898b.jpg']",Height: 10 (26cm); Materials: Marble; Provenance: Provenance Italy ; Features: Provenance available
017,017 Sold Pair Large Chinese Republic Period Porcelain Temple Foo Dog Figures,Recently Sold,7 x,€675.00,No,2,05/03/2025,"['https://file.4pm.ie/946/6915f83.jpg', 'https://file.4pm.ie/946/6270ba0a.jpg', 'https://file.4pm.ie/946/8b700887.jpg', 'https://file.4pm.ie/946/461deee3.jpg', 'https://file.4pm.ie/946/363ff6b9.jpg', 'https://file.4pm.ie/946/2f7a3fae.jpg', 'https://file.4pm.ie/946/2f88822a.jpg']","Height: 12.75 (32cm), Width: 5 (12.5cm); Materials: Porcelain"
018,018 Superb Quality Bankers Lamp - Heavy Cast Brass with Great Detail,Luxury Table Lamps and Lighting - Antique Lamps,3 x,€395.00,No,1,08/11/2016,"['https://file.4pm.ie/667/67584ef4.jpg', 'https://file.4pm.ie/667/54fe320e.jpg', 'https://file.4pm.ie/667/f19e1a7d.jpg']",Height: 19.75 (50cm)
019,019 Sold Attributed to Denis Foyatier 1793-1836 Male Nude Bronze of Spartacus 19thCt,Recently Sold,6 x,"€1,685.00",No,2,19/01/2019,"['https://file.4pm.ie/760/f2263dc7.jpg', 'https://file.4pm.ie/760/21065479.jpg', 'https://file.4pm.ie/760/2f7fb9c7.jpg', 'https://file.4pm.ie/760/370beb82.jpg', 'https://file.4pm.ie/760/67b49d59.jpg', 'https://file.4pm.ie/760/e10f31f8.jpg']","Height: 21.5 (53.25.25cm), Width: 6.5 (16.5cm); Materials: Bronze, Marble"
020,020 Victorian Silver Plated Chamber Candlestick,Gifts for all Occasions,5 x,€275.00,No,1,09/02/2011,"['https://file.4pm.ie/58/80125c66.jpg', 'https://file.4pm.ie/58/6123a12f.jpg', 'https://file.4pm.ie/58/ed5f56d8.jpg', 'https://file.4pm.ie/58/ec3d0696.jpg', 'https://file.4pm.ie/58/da01e392.jpg']","Height: 4.25 (11cm), Width: 6.25 (18cm), Depth: 6 (15cm); Materials: Silver"
021,021 Novida Chandelier - Large Brass and Frosted Glass Petals,Lighting,3 x,"€1,850.00",No,1,02/10/2024,"['https://file.4pm.ie/945/81d29a52.jpg', 'https://file.4pm.ie/945/a2ab09df.jpg', 'https://file.4pm.ie/945/566640ee.jpg']",Height: 23.6 (60cm); Materials: Glass
022,022 Sold Antique Pair French Cloisonne Champlevé Alabaster Ormolu Gilt Bronze Vase Urns,Recently Sold,6 x,€575.00,No,2,14/05/2024,"['https://file.4pm.ie/940/4a1d4df2.jpg', 'https://file.4pm.ie/940/3d81e00.jpg', 'https://file.4pm.ie/940/f5b3c53c.jpg', 'https://file.4pm.ie/940/17610a55.jpg', 'https://file.4pm.ie/940/d75d911c.jpg', 'https://file.4pm.ie/940/79e15c26.jpg']","Width: 2.25 (5.75cm); Materials: Bronze, Gold, Ivory"
023,023 Set of 10 Solid Silver - Tiffany NY English King Design - Spoons - Heavy,Newest Listings - Art and Antique Gallery Dublin,11 x,€950.00,No,1,21/05/2024,"['https://file.4pm.ie/904/4389dabe.jpg', 'https://file.4pm.ie/904/125a089a.jpg', 'https://file.4pm.ie/904/c7fb2211.jpg', 'https://file.4pm.ie/904/dcaa7d7e.jpg', 'https://file.4pm.ie/904/42741454.jpg', 'https://file.4pm.ie/904/ecfa01a4.jpg', 'https://file.4pm.ie/904/5e672648.jpg', 'https://file.4pm.ie/904/60822b69.jpg', 'https://file.4pm.ie/904/fa7422c4.jpg', 'https://file.4pm.ie/904/218ae0ab.jpg', 'https://file.4pm.ie/904/81ac73d5.jpg']",Materials: Silver
024,024. Antique Georgian Mahogany and Satinwood Bow Front Chest Circa 1800,Fine Furniture - Antiques from Dublin Ireland,6 x,"€2,850.00",No,1,14/07/2009,"['https://file.4pm.ie/10/10309-tja.jpg', 'https://file.4pm.ie/10/10310-bad.jpg', 'https://file.4pm.ie/10/10311-Aks.jpg', 'https://file.4pm.ie/10/10312-FrD.jpg', 'https://file.4pm.ie/10/10313-VwQ.jpg', 'https://file.4pm.ie/10/10314-WJD.jpg']","Width: 36 (91.5cm), Height: 33.25 (84.5cm); Materials: Mahogany; Features: Inlaid decoration; State: Restored/Cleaned"
025,025 Sold Superb Italian Grand Tour Specimen Marble Top Centre Table - Museum Quality,Recently Sold,3 x,"€18,450.00",No,2,24/11/2018,"['https://file.4pm.ie/833/a476f625.jpg', 'https://file.4pm.ie/833/e318b90c.jpg', 'https://file.4pm.ie/833/11338f80.jpg']","Height: 30 (76cm); Materials: Mahogany, Marble; Features: Inlaid decoration"
026,"026 Sold Coromandle Writing Slope Possibly Irish, Austins Dublin mid 19th Century",Recently Sold,6 x,€975.00,No,2,28/12/2024,"['https://file.4pm.ie/148/d89b500d.jpg', 'https://file.4pm.ie/148/9ae11209.jpg', 'https://file.4pm.ie/148/46a5a017.jpg', 'https://file.4pm.ie/148/49b42924.jpg', 'https://file.4pm.ie/148/2906e1d6.jpg', 'https://file.4pm.ie/148/42b48d83.jpg']","Fine Quality Well Figured Coromandel Writing Slope with lavish Ormolu mounts with extensive pierced cut decoration, complete with original fitted interior, mid Nineteenth Century. This Writing Slope i"
027,027 Large Pair Late 18th Century French Rococo Gilt Corner Brackets,Newest Listings - Art and Antique Gallery Dublin,5 x,"€3,450.00",No,1,30/05/2018,"['https://file.4pm.ie/834/fdafd004.jpg', 'https://file.4pm.ie/834/f75c08e1.jpg', 'https://file.4pm.ie/834/149f9a6f.jpg', 'https://file.4pm.ie/834/9c0d38c.jpg', 'https://file.4pm.ie/834/e301a6bc.jpg']","Height: 27 (69cm), Width: 16 (41cm); Materials: Gold; Provenance: Provenance Mitchells of Dublin and Wellington Road private House. Height ; Features: Provenance available, Rare piece"
028,028 Large Bronze Sculpture of a Young Man on Horseback,Newest Listings - Art and Antique Gallery Dublin,8 x,€990.00,No,1,21/04/2025,"['https://file.4pm.ie/947/b8050055.jpg', 'https://file.4pm.ie/947/69bec511.jpg', 'https://file.4pm.ie/947/42ddcfeb.jpg', 'https://file.4pm.ie/947/1fbb23e6.jpg', 'https://file.4pm.ie/947/5386df42.jpg', 'https://file.4pm.ie/947/91ef7707.jpg', 'https://file.4pm.ie/947/a56fbe79.jpg', 'https://file.4pm.ie/947/14c25e0f.jpg']","Height: 24.6 (62.5cm), Width: 19.7 (50cm), Depth: 9 (23cm); Materials: Bronze, Marble"
029,029 Sold Superb Bronze Red Deer Stag - Thomas Cartier - Marble Base,Recently Sold,6 x,€845.00,No,2,28/01/2023,"['https://file.4pm.ie/927/edcc5103.jpg', 'https://file.4pm.ie/927/c8ee568c.jpg', 'https://file.4pm.ie/927/debd92e8.jpg', 'https://file.4pm.ie/927/5a6085d4.jpg', 'https://file.4pm.ie/927/6afa6309.jpg', 'https://file.4pm.ie/927/b8ac800.jpg']","Depth: 9 (23cm), Height: 16.5 (42cm); Materials: Bronze, Marble"
030,030 Sold Antique Minton Staffordshire English Porcelain Vase Centerpiece Turquoise Gilt,Recently Sold,9 x,€575.00,No,2,09/12/2023,"['https://file.4pm.ie/919/c6966488.jpg', 'https://file.4pm.ie/919/bbf77aae.jpg', 'https://file.4pm.ie/919/83bcd437.jpg', 'https://file.4pm.ie/919/53285c50.jpg', 'https://file.4pm.ie/919/3f2da917.jpg', 'https://file.4pm.ie/919/87bcd9d0.jpg', 'https://file.4pm.ie/919/f6341faa.jpg', 'https://file.4pm.ie/919/7dbc0be9.jpg', 'https://file.4pm.ie/919/6d444c3b.jpg']","Height: 5 (12.75cm); Materials: Gold, Porcelain"
031,031 Sold Julian Friers - Oil on Canvas - 'Mallard Ducks',Recently Sold,3 x,"€7,950.00",No,2,10/02/2024,"['https://file.4pm.ie/939/8f415a66.jpg', 'https://file.4pm.ie/939/be91931d.jpg', 'https://file.4pm.ie/939/3b533ae4.jpg']","Height: 24 (61cm), Width: 32 (81.5cm), Height: 32 (81.5cm), Width: 40 (101.5cm); Provenance: Ireland"
032,032 Sold Pair of Large Crystal Tower Table Lamps - Art Deco - Superb Design - Italian Venini,Lighting,5 x,"€2,950.00",No,1,18/03/2018,"['https://file.4pm.ie/683/b782b56b.jpg', 'https://file.4pm.ie/683/a2c8319b.jpg', 'https://file.4pm.ie/683/e4a8dcdf.jpg', 'https://file.4pm.ie/683/8a321925.jpg', 'https://file.4pm.ie/683/59e2491f.jpg']",Height: 37.75 (96cm); Materials: Glass
033,033 Sold Rare large Irish Bog Oak Hand Carved Owl Mid 19th Ct,Recently Sold,5 x,€725.00,No,2,13/12/2018,"['https://file.4pm.ie/760/36b712a3.jpg', 'https://file.4pm.ie/760/fe431818.jpg', 'https://file.4pm.ie/760/baefd489.jpg', 'https://file.4pm.ie/760/499947a7.jpg', 'https://file.4pm.ie/760/f5479ed9.jpg']","Height: 7 (17.5cm); Materials: Glass, Oak; Features: Rare piece"
034,034 Sold Julian Friers - Oil on Canvas - 'Puffin in Flight',Recently Sold,2 x,"€5,950.00",No,2,18/11/2023,"['https://file.4pm.ie/933/e2fc156a.jpg', 'https://file.4pm.ie/933/5ec65940.jpg']","Height: 24 (61cm), Width: 18 (46cm), Height: 32 (81.5cm), Width: 26 (66cm); Provenance: Ireland"
035,035 Sold Superb Period Art Deco Pair of French Lamps - Mirrored Columns,Recently Sold,2 x,"€3,950.00",No,2,19/03/2024,"['https://file.4pm.ie/935/581c274e.jpg', 'https://file.4pm.ie/935/f3fee2a7.jpg']","Height: 33 (83.5cm), Height: 24 (61.5cm); Features: Provenance available"
036,036 Socket Driver - Wood - Circa 1920 - English,Newest Listings - Art and Antique Gallery Dublin,4 x,€295.00,No,1,20/04/2015,"['https://file.4pm.ie/190/7bf9a56b.jpg', 'https://file.4pm.ie/190/1c8c0cde.jpg', 'https://file.4pm.ie/190/92b3d1ad.jpg', 'https://file.4pm.ie/190/8ef16100.jpg']",This is a wonderful and playable Socket Driver - Wood - Circa 1925 English . The grip was replaced but done so with the old method and materials. This Wood was lightly polished and is a lovely Piece o
037,037 Minton Staffordshire Porcelain Candelabra Centerpiece Cherub 19th Ct,Porcelain - Antiques in Dublin Ireland,7 x,€630.00,No,1,24/07/2022,"['https://file.4pm.ie/922/f3b663ca.jpg', 'https://file.4pm.ie/922/5773b60.jpg', 'https://file.4pm.ie/922/bd7e723d.jpg', 'https://file.4pm.ie/922/d71de1ab.jpg', 'https://file.4pm.ie/922/bd5e573f.jpg', 'https://file.4pm.ie/922/baf0e89d.jpg', 'https://file.4pm.ie/922/d5055a81.jpg']","Height: 11.5 (29cm); Materials: Gold, Porcelain"
038,038 Sold Rare Bronze - Giant Irish Elk - Paul Ferriter - Irish,Recently Sold,7 x,"€5,900.00",No,2,10/01/2022,"['https://file.4pm.ie/916/56a67731.jpg', 'https://file.4pm.ie/916/675ad85b.jpg', 'https://file.4pm.ie/916/c7e245b9.jpg', 'https://file.4pm.ie/916/5ef14603.jpg', 'https://file.4pm.ie/916/44105318.jpg', 'https://file.4pm.ie/916/a7e020bc.jpg', 'https://file.4pm.ie/916/6ab575bc.jpg']","Height: 17 (42cm), Depth: 15.75 (40cm); Materials: Bronze; Features: Rare piece"
039,039 Sold Rare Italian Madonna and Child - Carved Wood - Salzburg Tradition,Recently Sold,4 x,€950.00,No,2,04/11/2024,"['https://file.4pm.ie/940/7eebb4ad.jpg', 'https://file.4pm.ie/940/164e4767.jpg', 'https://file.4pm.ie/940/a3430db.jpg', 'https://file.4pm.ie/940/4bdb8339.jpg']",Height: 31.5 (80cm)
040,040 Daniel Van der Putten - Glendalough in Spring - Co. Wicklow - Oil Painting on Panel,Paintings of Ireland,3 x,"€3,450.00",No,1,24/12/2018,"['https://file.4pm.ie/864/d3650a01.jpg', 'https://file.4pm.ie/864/4a17202f.jpg', 'https://file.4pm.ie/864/3e236ea4.jpg']","Width: 14 (36cm), Height: 11 (28cm); Provenance: Ireland; Features: Rare piece"
041,041 Pair of Late 19th Century Japanese Vases - Large Size,Porcelain - Antiques in Dublin Ireland,7 x,"€1,200.00",No,1,11/06/2024,"['https://file.4pm.ie/941/5ebd5271.jpg', 'https://file.4pm.ie/941/a326f6fa.jpg', 'https://file.4pm.ie/941/4f1fc495.jpg', 'https://file.4pm.ie/941/2863a8d.jpg', 'https://file.4pm.ie/941/d3e93820.jpg', 'https://file.4pm.ie/941/a5ea77b1.jpg', 'https://file.4pm.ie/941/6bbd468d.jpg']",Height: 23.75 (60cm)
042,042 Sold Julian Friers - Falcon - Oil on Canvas - 'Peregrine Falcon',Recently Sold,2 x,"€8,950.00",No,2,25/11/2023,"['https://file.4pm.ie/933/ce784082.jpg', 'https://file.4pm.ie/933/7360ea09.jpg']","Height: 32 (81cm), Width: 24 (61cm), Height: 39 (99cm), Width: 31 (79cm); Provenance: Ireland"
043,043 Sold Pair French Ormolu Bronze Warwick Albani Grand Tour Vases Urns Clodion,Recently Sold,9 x,"€1,750.00",No,2,01/12/2022,"['https://file.4pm.ie/904/892cbb55.jpg', 'https://file.4pm.ie/904/ccf07ece.jpg', 'https://file.4pm.ie/904/abd4177c.jpg', 'https://file.4pm.ie/904/8574b355.jpg', 'https://file.4pm.ie/904/3fa56258.jpg', 'https://file.4pm.ie/904/99487a58.jpg', 'https://file.4pm.ie/904/9dc393ff.jpg', 'https://file.4pm.ie/904/3d7bd1b6.jpg', 'https://file.4pm.ie/904/9d60976b.jpg']","Height: 7.25 (18.5cm), Width: 8.5 (21.5cm), Width: 5 (12.5cm); Materials: Bronze"
044,044 Large Mahogany Dining Table - Norfolk Manor Furniture - Royal Bank of Scotland Provenance,Fine Furniture - Antiques from Dublin Ireland,4 x,"€3,950.00",No,1,19/03/2021,"['https://file.4pm.ie/910/2bc3b55c.jpg', 'https://file.4pm.ie/910/a42d6b9b.jpg', 'https://file.4pm.ie/910/85355761.jpg', 'https://file.4pm.ie/910/f879f5e8.jpg']",Height: 30 (76cm); Materials: Mahogany
045,045 Fine Irish Bog Oak Hand Carved Owl poss. Cornelius Goggin 19thCt,Irish Collection - Irish Antiques from Dublin - Ireland,5 x,€540.00,No,1,03/01/2019,"['https://file.4pm.ie/864/38d4657a.jpg', 'https://file.4pm.ie/864/d42f30e9.jpg', 'https://file.4pm.ie/864/6be3f5db.jpg', 'https://file.4pm.ie/864/cdc1853f.jpg', 'https://file.4pm.ie/864/d825c930.jpg']","Height: 5 (12.75cm); Materials: Glass, Oak; Features: Rare piece"
046,046 Sold Superb Early Victorian Hand Cut Crystal Oak Framed Tantalus 19thCt,Recently Sold,7 x,€775.00,No,2,30/11/2020,"['https://file.4pm.ie/864/bafc2917.jpg', 'https://file.4pm.ie/864/ef7bf682.jpg', 'https://file.4pm.ie/864/f8221ddc.jpg', 'https://file.4pm.ie/864/c2b16f82.jpg', 'https://file.4pm.ie/864/4fe8cbb.jpg', 'https://file.4pm.ie/864/b60054dd.jpg', 'https://file.4pm.ie/864/5f92d3f5.jpg']","Materials: Oak, Silver"
047,047 Pair of Flame Mahogany - Chest of Drawers - Brass Handles,Newest Listings - Art and Antique Gallery Dublin,5 x,"€1,390.00",No,1,08/04/2025,"['https://file.4pm.ie/947/30e4b49d.jpg', 'https://file.4pm.ie/947/2b3ee716.jpg', 'https://file.4pm.ie/947/5609625f.jpg', 'https://file.4pm.ie/947/401c7fd1.jpg', 'https://file.4pm.ie/947/a4bf5478.jpg']","Height: 26 (66cm), Depth: 18.75 (48cm), Width: 23.25 (59cm); Materials: Mahogany, Oak; State: Restored/Cleaned"
048,048 Sold French Sevres Porcelain Ormolu Mounted Urn Exceptional Quality 19thCt,Recently Sold,8 x,"€1,375.00",No,2,27/04/2019,"['https://file.4pm.ie/864/339f9d67.jpg', 'https://file.4pm.ie/864/9a15df49.jpg', 'https://file.4pm.ie/864/620e5c90.jpg', 'https://file.4pm.ie/864/c31865c5.jpg', 'https://file.4pm.ie/864/50f8428.jpg', 'https://file.4pm.ie/864/52d60d37.jpg', 'https://file.4pm.ie/864/727810b6.jpg', 'https://file.4pm.ie/864/f2804336.jpg']","Width: 3.5 (9cm); Materials: Bronze, Gold, Porcelain"
049,049 Superb Pair of Porcelain and Gilt Bronze Cornucopia - Italian,Porcelain - Antiques in Dublin Ireland,8 x,€990.00,No,1,05/05/2021,"['https://file.4pm.ie/911/7eeaa1e1.jpg', 'https://file.4pm.ie/911/edc9db29.jpg', 'https://file.4pm.ie/911/d73b3b.jpg', 'https://file.4pm.ie/911/3fa5dc23.jpg', 'https://file.4pm.ie/911/55986f98.jpg', 'https://file.4pm.ie/911/2aeebd6c.jpg', 'https://file.4pm.ie/911/bec0b29e.jpg', 'https://file.4pm.ie/911/758dec1c.jpg']","Height: 12.75 (33cm), Width: 9.5 (24cm), Depth: 4.5 (11.5cm); Materials: Bronze, Porcelain"
050,050 Sold Rare Large English Casket - Stunning Quality - Circa 1890,Recently Sold,5 x,"€1,250.00",No,2,11/04/2025,"['https://file.4pm.ie/150/f5cf6754.jpg', 'https://file.4pm.ie/150/1af3b1be.jpg', 'https://file.4pm.ie/150/7f2b3198.jpg', 'https://file.4pm.ie/150/ba9d3ccf.jpg', 'https://file.4pm.ie/150/aea2da3c.jpg']","Height: 12 (30.5cm), Depth: 10.5 (27cm), Width: 17 (23cm); Materials: Mahogany; Provenance: made in the UK. It is a masterclass in wood inlay and fretwork. The Box is made from Mahogany and inlaid in Satinwood. The Fretwork, Rosewood Studs, Inlay all combine to make this one of the most wonderful Caskets I ever had in Store . Pictures don; Features: Inlaid decoration"
051,051 Sold Superb Pair of Art Deco Three Arm Wall Sconces - Circa 1940,Recently Sold,6 x,"€1,750.00",No,2,21/07/2018,"['https://file.4pm.ie/809/d622a023.jpg', 'https://file.4pm.ie/809/d973fb35.jpg', 'https://file.4pm.ie/809/f2f88ff1.jpg', 'https://file.4pm.ie/809/5422e012.jpg', 'https://file.4pm.ie/809/a9adffa4.jpg', 'https://file.4pm.ie/809/a52874d8.jpg']","Height: 15 (38cm), Width: 15 (38cm); Materials: Bronze; State: Restored/Cleaned"
052,052 Sold Antique English Pair Frederick Adams Copeland Urns Vases Centerpieces Still Life,Recently Sold,7 x,€975.00,No,2,04/06/2025,"['https://file.4pm.ie/947/2344492f.jpg', 'https://file.4pm.ie/947/af356028.jpg', 'https://file.4pm.ie/947/10d03158.jpg', 'https://file.4pm.ie/947/909a0a00.jpg', 'https://file.4pm.ie/947/f6267751.jpg', 'https://file.4pm.ie/947/5c1d1f63.jpg', 'https://file.4pm.ie/947/bf6fc20e.jpg']",Materials: Porcelain
053,053 Sold Birds in a setting - Oil on Canvas - Melchior D'Hondecoeter,Recently Sold,3 x,"€1,500.00",No,2,20/11/2020,"['https://file.4pm.ie/907/7d09aea3.jpg', 'https://file.4pm.ie/907/3d6976b8.jpg', 'https://file.4pm.ie/907/93f5f84a.jpg']","Height: 26.5 (67cm), Width: 24 (61cm); Provenance: Ireland; State: Restored/Cleaned"
054,054 Sold Map Ireland - 1851 - Engraved by Rapkin - Published by Tallis - Original,Recently Sold,2 x,€415.00,No,2,07/05/2024,"['https://file.4pm.ie/865/b7d9477a.jpg', 'https://file.4pm.ie/865/2e001683.jpg']",Width: 9 (23cm); Provenance: Ireland
