ID,Name,Category,Pictures,Price,Featured,Status,Updated,ImageLinks,DescriptionSummary
841,841 Sold Antique Pair French Brass Girandole Wall Applique Sconces Mirrors Candlesticks,Recently Sold,6 x,"€1,250.00",No,2,23/12/2024,"['https://file.4pm.ie/946/d1cab955.jpg', 'https://file.4pm.ie/946/2ced05df.jpg', 'https://file.4pm.ie/946/a4e68cf8.jpg', 'https://file.4pm.ie/946/cdefc1b0.jpg', 'https://file.4pm.ie/946/70619e9e.jpg', 'https://file.4pm.ie/946/745efbd2.jpg']",Materials: Glass; Features: Rare piece
842,842 Sold Vavona Burl Jewellery Casket – Manning of Ireland – Irish,Recently Sold,5 x,€845.00,No,2,18/04/2025,"['https://file.4pm.ie/946/b530501a.jpg', 'https://file.4pm.ie/946/a1c6e3aa.jpg', 'https://file.4pm.ie/946/9f0d8baf.jpg', 'https://file.4pm.ie/946/bb8a3af3.jpg', 'https://file.4pm.ie/946/c0f329d8.jpg']","Width: 12.5 (31.5cm), Depth: 9.75 (25cm), Height: 5 (12.5cm); Materials: Mahogany; Provenance: made in Spanish Cedar and Veneered in Vavona Burl "
843,843 Attrib. Benedetto Boschetti Fine Bronzed Male Bust Ajax Greek Mythological Hero,Ormolu and Bronze Collection Dublin Ireland Antiques,5 x,"€1,275.00",No,1,23/12/2022,"['https://file.4pm.ie/926/687f4daf.jpg', 'https://file.4pm.ie/926/c093afee.jpg', 'https://file.4pm.ie/926/17ce27f2.jpg', 'https://file.4pm.ie/926/4cb0773f.jpg', 'https://file.4pm.ie/926/702fa69b.jpg']","Width: 4.5 (11.5cm); Materials: Bronze, Marble; Features: Original condition; State: Original condition"
844,844 Sold Superb Pair of Venini by Carlo Nason with Murano Crystal,Recently Sold,5 x,"€5,250.00",No,2,05/06/2021,"['https://file.4pm.ie/815/35d7c19e.jpg', 'https://file.4pm.ie/815/d3b3dcd6.jpg', 'https://file.4pm.ie/815/82233735.jpg', 'https://file.4pm.ie/815/fee72e71.jpg', 'https://file.4pm.ie/815/964375a0.jpg']",Height: 16 (41cm); Features: Rare piece
845,845 Antique French Rosewood Brass Inlaid Boulle Writing Slope Box Desk 19thCt,"Jewellery Caskets, Writing Slopes and Tea Caddies",5 x,€675.00,No,1,29/09/2024,"['https://file.4pm.ie/945/c00ab5b7.jpg', 'https://file.4pm.ie/945/b55d86ef.jpg', 'https://file.4pm.ie/945/d2bc2d77.jpg', 'https://file.4pm.ie/945/ccc172df.jpg', 'https://file.4pm.ie/945/cc02a978.jpg']",State: Restored/Cleaned
846,846 Sold Superb Miniature Oak Brass Mounted Longcase Clock late 19thCt,Recently Sold,10 x,"€1,275.00",No,2,01/08/2020,"['https://file.4pm.ie/872/ddad6c39.jpg', 'https://file.4pm.ie/872/c753e964.jpg', 'https://file.4pm.ie/872/9255e2cb.jpg', 'https://file.4pm.ie/872/2e3618cd.jpg', 'https://file.4pm.ie/872/c7a5025e.jpg', 'https://file.4pm.ie/872/1de5b0a7.jpg', 'https://file.4pm.ie/872/c189a362.jpg', 'https://file.4pm.ie/872/591a630c.jpg', 'https://file.4pm.ie/872/3f8dfbad.jpg', 'https://file.4pm.ie/872/c789974b.jpg']","Width: 57.5 (14.5cm), Depth: 4.75 (12cm); Materials: Oak"
847,847 Sold Rare Pair Royal Crown Derby Gilt Potpourri Covered Urns 19thCt,Recently Sold,13 x,€975.00,No,2,10/05/2018,"['https://file.4pm.ie/828/7d560c1a.jpg', 'https://file.4pm.ie/828/fa9d2d92.jpg', 'https://file.4pm.ie/828/876910e4.jpg', 'https://file.4pm.ie/828/73219fa0.jpg', 'https://file.4pm.ie/828/f25982d0.jpg', 'https://file.4pm.ie/828/d1b0d0c.jpg', 'https://file.4pm.ie/828/95d0d04b.jpg', 'https://file.4pm.ie/828/f3baa41b.jpg', 'https://file.4pm.ie/828/24cee890.jpg', 'https://file.4pm.ie/828/59b3a870.jpg', 'https://file.4pm.ie/828/b652d015.jpg', 'https://file.4pm.ie/828/3e07e956.jpg', 'https://file.4pm.ie/828/48f11439.jpg']","Height: 9 (23cm), Width: 6.75 (17cm), Depth: 6.5 (16.5cm); Materials: Porcelain; Features: Rare piece"
848,848 Sold Pair of Rosewood Card Tables Circa 1840 - Wonderful Quality,Recently Sold,3 x,"€5,000.00",No,2,20/02/2019,"['https://file.4pm.ie/149/9a037900.jpg', 'https://file.4pm.ie/149/e188a298.jpg', 'https://file.4pm.ie/149/8d6857f6.jpg']","Height: 29.75 (75.5cm), Depth: 18 (45.5cm), Width: 36 (91.5cm)"
849,849 Sold Stunning English Tantalus - Rare - Crystal Decanters - Victorian,Recently Sold,7 x,"€1,750.00",No,2,01/12/2022,"['https://file.4pm.ie/864/e78ab5c0.jpg', 'https://file.4pm.ie/864/743dbd4e.jpg', 'https://file.4pm.ie/864/b5074cc.jpg', 'https://file.4pm.ie/864/355663d7.jpg', 'https://file.4pm.ie/864/c2d45407.jpg', 'https://file.4pm.ie/864/ca674b1a.jpg', 'https://file.4pm.ie/864/91307187.jpg']","Height: 13 (33cm), Depth: 7 (17.5cm), Width: 17 (43cm); Materials: Silver; Provenance: Ireland; Features: Rare piece"
850,850 Sold Twin Door Killarney Wear Cabinet - Circa 1870 - Kerry Ireland,Memorable Irish Antiques,6 x,"€1,300.00",No,2,06/07/2017,"['https://file.4pm.ie/657/d6f605dd.jpg', 'https://file.4pm.ie/657/75ff883b.jpg', 'https://file.4pm.ie/657/3a30ba4f.jpg', 'https://file.4pm.ie/657/e65e993c.jpg', 'https://file.4pm.ie/657/dc92ce15.jpg', 'https://file.4pm.ie/657/d3f42300.jpg']","Width: 9.75 (24.5cm), Depth: 8 (20cm), Height: 8.5 (21.5cm); Materials: Arbutus; Features: Rare piece"
851,851 Daniel Van der Putten - Dunguaire Castle - Galway - Oil Painting on Panel,Paintings of Ireland,4 x,"€3,750.00",No,1,08/05/2024,"['https://file.4pm.ie/941/866a1f65.jpg', 'https://file.4pm.ie/941/e5b38d7f.jpg', 'https://file.4pm.ie/941/9ead7c88.jpg', 'https://file.4pm.ie/941/7b43fe71.jpg']","Width: 11 (39.5cm), Height: 11 (33cm); Provenance: Ireland; Features: Rare piece"
852,852 Sold Pair of Sheraton Inlaid Mahogany Miniature Dressing Table Mirrors,Recently Sold,2 x,€795.00,No,2,06/04/2020,"['https://file.4pm.ie/886/33170f92.jpg', 'https://file.4pm.ie/886/78e8c1af.jpg']",Height: 12 (31cm); Materials: Mahogany; Features: Rare piece
853,853 Antique Victorian Coromandel Brass Wooden Letters Stationery Casket Box Betjemann,"Jewellery Caskets, Writing Slopes and Tea Caddies",4 x,€575.00,No,1,24/04/2024,"['https://file.4pm.ie/940/5034703f.jpg', 'https://file.4pm.ie/940/a5a170cd.jpg', 'https://file.4pm.ie/940/743ec796.jpg', 'https://file.4pm.ie/940/89e7b6e5.jpg']",Provenance: Made in England by G. Betjemann . The main outer carcass with lavish polished brass decoration. The dome shaped hinged cover opening to reveal an original fitted interior with no losses. Width
854,854 Sold Gillows of Lancaster Games Table - Circa 1820 - Mahogany,Recently Sold,8 x,"€4,950.00",No,2,22/08/2020,"['https://file.4pm.ie/828/da86996b.jpg', 'https://file.4pm.ie/828/b4f34042.jpg', 'https://file.4pm.ie/828/3d22e551.jpg', 'https://file.4pm.ie/828/f8322dd8.jpg', 'https://file.4pm.ie/828/9de3f90b.jpg', 'https://file.4pm.ie/828/881b7d4b.jpg', 'https://file.4pm.ie/828/5983109c.jpg', 'https://file.4pm.ie/828/6a7562fc.jpg']","Height: 28.5 (73cm), Width: 32.75 (83cm), Depth: 19.5 (50cm); Materials: Mahogany; Provenance: provenance is excellent. Related examples are noted in ; Features: Provenance available"
855,855 Superb and Rare Killarney Edwardian Irish Table - Carved Oak,Irish Collection - Irish Antiques from Dublin - Ireland,5 x,"€2,350.00",No,1,24/03/2025,"['https://file.4pm.ie/947/56d9c04.jpg', 'https://file.4pm.ie/947/2cdf79e.jpg', 'https://file.4pm.ie/947/e5922ab.jpg', 'https://file.4pm.ie/947/23ee38a6.jpg', 'https://file.4pm.ie/947/a6bca257.jpg']","Depth: 14.75 (37.5cm), Height: 28 (71cm); Materials: Oak; Provenance: Ireland; Features: Rare piece"
856,856 Sold Rosewood and Satinwood Banded Single Tea Caddy 19thCt,Recently Sold,8 x,€230.00,No,2,31/08/2019,"['https://file.4pm.ie/889/a87d23c.jpg', 'https://file.4pm.ie/889/396b6032.jpg', 'https://file.4pm.ie/889/4f1e8b9f.jpg', 'https://file.4pm.ie/889/28678607.jpg', 'https://file.4pm.ie/889/431ca039.jpg', 'https://file.4pm.ie/889/241a1f91.jpg', 'https://file.4pm.ie/889/c4fe6809.jpg', 'https://file.4pm.ie/889/17867303.jpg']","Height: 5.5 (14cm), Width: 9.75 (25cm); Materials: Glass"
857,857 Sold Oak and Brass Candelabra - Circa 1890,Recently Sold,6 x,€345.00,No,2,14/07/2025,"['https://file.4pm.ie/946/cdd8c70a.jpg', 'https://file.4pm.ie/946/757783d9.jpg', 'https://file.4pm.ie/946/af1e10c.jpg', 'https://file.4pm.ie/946/472e3a61.jpg', 'https://file.4pm.ie/946/95706d4a.jpg', 'https://file.4pm.ie/946/519a37e9.jpg']","Height: 15.5 (39.5cm), Width: 9 (23cm); Materials: Oak"
858,858 Sold Regency Feathered Mahogany Apprentice Chest - Circa 1820,Recently Sold,3 x,"€1,250.00",No,2,02/11/2024,"['https://file.4pm.ie/928/8fd2d333.jpg', 'https://file.4pm.ie/928/99054e0c.jpg', 'https://file.4pm.ie/928/eeffdb69.jpg']","Height: 18.75 (47.5cm), Width: 19 (48cm), Depth: 10 (25cm); Materials: Ebony, Mahogany"
859,859 Rare Pair English Cornish Serpentine Marble Candlesticks attrib. John Murphy 1850,Candlesticks and Candelabra - Antiques in Dublin Ireland,9 x,"€1,475.00",No,1,17/06/2019,"['https://file.4pm.ie/887/89541787.jpg', 'https://file.4pm.ie/887/ffe61f73.jpg', 'https://file.4pm.ie/887/427e4b74.jpg', 'https://file.4pm.ie/887/389210a9.jpg', 'https://file.4pm.ie/887/e86f76db.jpg', 'https://file.4pm.ie/887/aabae292.jpg', 'https://file.4pm.ie/887/d7d96f10.jpg', 'https://file.4pm.ie/887/a4aeceb.jpg', 'https://file.4pm.ie/887/282a255e.jpg']",Materials: Marble
860,860 Sold Pair of Italian Landscapes - Alfred Godchaux (1835-1895) French - Oil on Canvas - Framed,Recently Sold,11 x,"€1,275.00",No,2,12/05/2018,"['https://file.4pm.ie/830/5faa37c0.jpg', 'https://file.4pm.ie/830/84f85198.jpg', 'https://file.4pm.ie/830/fc0d0a81.jpg', 'https://file.4pm.ie/830/135194c6.jpg', 'https://file.4pm.ie/830/a8692e47.jpg', 'https://file.4pm.ie/830/ad7cdfaf.jpg', 'https://file.4pm.ie/830/877da2ff.jpg', 'https://file.4pm.ie/830/f3098930.jpg', 'https://file.4pm.ie/830/72a08b49.jpg', 'https://file.4pm.ie/830/fcfd99f2.jpg', 'https://file.4pm.ie/830/b1bf8b0e.jpg']","Width: 22 (56cm), Height: 15.5 (39.5cm); Provenance: Ireland"
861,861 Sold Pair Wedgwood (England) Blue Jasperware Arcadian Vases,Recently Sold,5 x,€395.00,No,2,21/07/2025,"['https://file.4pm.ie/889/5bed22c1.jpg', 'https://file.4pm.ie/889/54d0bb5a.jpg', 'https://file.4pm.ie/889/4650a3c5.jpg', 'https://file.4pm.ie/889/20bf1127.jpg', 'https://file.4pm.ie/889/12ca32e0.jpg']",Height: 7.5 (19cm)
862,862 Sold George III Irish Inlaid Satinwood Games Table - William Moore - Circa 1790,Recently Sold,5 x,"€3,000.00",No,2,03/02/2025,"['https://file.4pm.ie/916/94b3e9f6.jpg', 'https://file.4pm.ie/916/65f5596.jpg', 'https://file.4pm.ie/916/ae90d538.jpg', 'https://file.4pm.ie/916/ff6e0b1b.jpg', 'https://file.4pm.ie/916/600f7f1f.jpg']","Width: 36 (91.5cm), Depth: 19 (48cm), Height: 29 (73cm); Provenance: Ireland; Features: Rare piece"
863,"863 Sold EB Herberte 'The Meet Up'; 'The Jump' A pair, Oils on Canvas",Recently Sold,6 x,"€5,450.00",No,2,12/03/2025,"['https://file.4pm.ie/941/86fd0dc7.jpg', 'https://file.4pm.ie/941/a5c3f60a.jpg', 'https://file.4pm.ie/941/8183cb64.jpg', 'https://file.4pm.ie/941/9442388b.jpg', 'https://file.4pm.ie/941/585fdd29.jpg', 'https://file.4pm.ie/941/9afbd8d.jpg']","Height: 22.5 (57cm), Width: 30.5 (77cm), Height: 16 (40cm), Width: 24 (61cm); Features: Rare piece"
864,864 Sold Rare Manning of Ireland Jewellery Box - Irish Made - Macassar Ebony,Recently Sold,7 x,€850.00,No,1,24/11/2024,"['https://file.4pm.ie/946/93f9c343.jpg', 'https://file.4pm.ie/946/58ae365d.jpg', 'https://file.4pm.ie/946/3e3b89c.jpg', 'https://file.4pm.ie/946/7b013b03.jpg', 'https://file.4pm.ie/946/e0d2efa9.jpg', 'https://file.4pm.ie/946/20e2dea2.jpg', 'https://file.4pm.ie/946/e6854169.jpg']","Materials: Ebony, Mahogany; Provenance: Ireland; Features: Rare piece"
865,"865 Superb George III Chippendale Period Mahogany Serpentine, Concertina Action Card Table",Fine Furniture - Antiques from Dublin Ireland,3 x,"€2,500.00",No,1,26/02/2018,"['https://file.4pm.ie/829/7986c1c7.jpg', 'https://file.4pm.ie/829/9d3a2ec5.jpg', 'https://file.4pm.ie/829/ac7fba95.jpg']","Height: 30 (76cm); Materials: Mahogany; Provenance: Provenance: Private Collection Dublin, Ireland.; Features: Provenance available, Rare piece; State: Restored/Cleaned"
866,866 Sold Antique Pair Grand Tour Bronze Egyptian Sphinx Figures Breche Violet Marble 19Ct,Recently Sold,7 x,"€2,275.00",No,2,19/03/2024,"['https://file.4pm.ie/933/d153f40c.jpg', 'https://file.4pm.ie/933/f88a428.jpg', 'https://file.4pm.ie/933/9feafc9c.jpg', 'https://file.4pm.ie/933/d4a834b0.jpg', 'https://file.4pm.ie/933/a9ca7465.jpg', 'https://file.4pm.ie/933/11a5b531.jpg', 'https://file.4pm.ie/933/6b0eae44.jpg']","Width: 12.5 (32cm); Materials: Bronze, Marble"
867,867 Sold Rare Irish Killarney Arbutus Wood Antique Jewelery Casket Box Mid 19th Century,Recently Sold,7 x,€475.00,No,2,15/12/2021,"['https://file.4pm.ie/896/8e2bde24.jpg', 'https://file.4pm.ie/896/427ce280.jpg', 'https://file.4pm.ie/896/bfb03755.jpg', 'https://file.4pm.ie/896/35035d99.jpg', 'https://file.4pm.ie/896/c65fec6b.jpg', 'https://file.4pm.ie/896/41eb1ebf.jpg', 'https://file.4pm.ie/896/d67f3d2b.jpg']",Materials: Arbutus; Features: Inlaid decoration
868,868 Wonderful Framed Print of The Exhibition Hall Leinster House 1853,Irish Collection - Irish Antiques from Dublin - Ireland,5 x,€395.00,No,1,06/12/2019,"['https://file.4pm.ie/896/e4e6833.jpg', 'https://file.4pm.ie/896/1a3db724.jpg', 'https://file.4pm.ie/896/9ef24a65.jpg', 'https://file.4pm.ie/896/b225376f.jpg', 'https://file.4pm.ie/896/c60b40a6.jpg']","Height: 22.75 (58cm), Width: 18 (46cm); Provenance: Ireland"
869,869 Sold Sheraton Revival Period Breakfront Mahogany Inlaid Book Case - English,Recently Sold,3 x,"€8,250.00",No,2,07/09/2024,"['https://file.4pm.ie/896/5fc77478.jpg', 'https://file.4pm.ie/896/be6fb2df.jpg', 'https://file.4pm.ie/896/894aecfc.jpg']","Height: 86.6 (220cm), Width: 76.3 (194cm), Depth: 22.4 (57cm); Materials: Mahogany"
870,870 Sold Antique Pair Victorian English Porcelain Ewers Jugs Vases Gilt Cobalt Blue 19 Ct,Recently Sold,8 x,€485.00,No,2,13/01/2024,"['https://file.4pm.ie/915/cb1567e.jpg', 'https://file.4pm.ie/915/9d06f09a.jpg', 'https://file.4pm.ie/915/14fa6a26.jpg', 'https://file.4pm.ie/915/6d83ddfa.jpg', 'https://file.4pm.ie/915/89392387.jpg', 'https://file.4pm.ie/915/8e4805de.jpg', 'https://file.4pm.ie/915/cb510a91.jpg', 'https://file.4pm.ie/915/c2c28fe5.jpg']",Materials: Ivory
871,"871 Sold John Bagnold Burgess, R.A. (1830-1897) - Oil on Canvas",Recently Sold,5 x,"€5,450.00",No,2,07/12/2024,"['https://file.4pm.ie/928/9ad806e1.jpg', 'https://file.4pm.ie/928/bb1cca6f.jpg', 'https://file.4pm.ie/928/41ca0ac9.jpg', 'https://file.4pm.ie/928/b572df96.jpg', 'https://file.4pm.ie/928/ee836962.jpg']","Height: 29 (74cm), Width: 23 (58.5cm), Width: 15 (38cm); Provenance: Provenance - Christies London. Frame Height ; Features: Provenance available"
872,872 Sold Superb Luxury Chess Set - Bronze Gold and Silver - Italian - Napoleon,Recently Sold,1 x,"€9,450.00",No,2,20/08/2022,['https://file.4pm.ie/922/9cadac6c.jpg'],"Height: 4.25 (11cm), Width: 24 (61cm), Height: 4.25 (11cm); Materials: Bronze, Gold; Provenance: made in Italy and depicting Napoleon versus Dimitry. This unique Chess Set, made in Bronze by lost wax process technique, finished using Real Gold "
873,873 Antique Anglo Indian Coromandel Satinwood Ladys Jewellery Sewing Table Box 19ct,"Jewellery Caskets, Writing Slopes and Tea Caddies",7 x,"€1,650.00",No,1,18/11/2022,"['https://file.4pm.ie/926/8814cb6b.jpg', 'https://file.4pm.ie/926/3bc0ae4a.jpg', 'https://file.4pm.ie/926/7beb0bf3.jpg', 'https://file.4pm.ie/926/1645fc68.jpg', 'https://file.4pm.ie/926/2adafdf2.jpg', 'https://file.4pm.ie/926/7b386e63.jpg', 'https://file.4pm.ie/926/ed20c1c.jpg']","Width: 5.25 (13.5cm), Width: 16 (41cm), Depth: 11.25 (28.5cm); Features: Rare piece"
874,874 Rare Large Myrtlel Wood Dome Jewellery Casket – Manning of Ireland – Irish,"Jewellery Caskets, Writing Slopes and Tea Caddies",5 x,"€2,450.00",No,1,03/05/2024,"['https://file.4pm.ie/940/4393e6ad.jpg', 'https://file.4pm.ie/940/3ccfc681.jpg', 'https://file.4pm.ie/940/e9506b6f.jpg', 'https://file.4pm.ie/940/ddfc570f.jpg', 'https://file.4pm.ie/940/ab26ec13.jpg']",Materials: Mahogany; Provenance: Ireland; Features: Rare piece
875,875 Sold Edwardian Display Cabinet - Edwards and Roberts - Circa 1900,Recently Sold,4 x,"€4,350.00",No,2,07/06/2019,"['https://file.4pm.ie/738/71a7d44.jpg', 'https://file.4pm.ie/738/8336e20b.jpg', 'https://file.4pm.ie/738/fc27675e.jpg', 'https://file.4pm.ie/738/b6e471a1.jpg']","Width: 42 (107cm), Height: 73 (185.5cm), Depth: 14 (36cm); Materials: Mahogany; Features: Inlaid decoration"
876,876 Ted Jones - Oil on Board - The Busker - Circa 1992,Paintings and Engravings - Antique Shop Ireland,4 x,"€6,900.00",No,1,23/09/2024,"['https://file.4pm.ie/944/7536e417.jpg', 'https://file.4pm.ie/944/56bbbe39.jpg', 'https://file.4pm.ie/944/2a360f2.jpg', 'https://file.4pm.ie/944/f093a937.jpg']","Height: 18 (45.5cm), Width: 14 (35.5cm); Provenance: provenance and was purchased directly from the Artist in the early ; Features: Provenance available"
877,877 Antique Religious Grand Tour Plaque Last Supper Painting Alabaster Champleve,Newest Listings - Art and Antique Gallery Dublin,6 x,"€1,875.00",No,1,08/11/2023,"['https://file.4pm.ie/935/be5e2f40.jpg', 'https://file.4pm.ie/935/73be042.jpg', 'https://file.4pm.ie/935/427f4811.jpg', 'https://file.4pm.ie/935/cccb42a2.jpg', 'https://file.4pm.ie/935/1ddc851d.jpg', 'https://file.4pm.ie/935/ea52a89f.jpg']","Height: 8 (20cm); Materials: Bronze, Porcelain"
878,878 Stunning Mid Century Large Console Table - Italian Circa 1950,Furniture,8 x,"€5,250.00",No,1,12/10/2023,"['https://file.4pm.ie/934/1482281e.jpg', 'https://file.4pm.ie/934/54242f45.jpg', 'https://file.4pm.ie/934/dad24ee1.jpg', 'https://file.4pm.ie/934/afff0983.jpg', 'https://file.4pm.ie/934/59949ad5.jpg', 'https://file.4pm.ie/934/48f05b31.jpg', 'https://file.4pm.ie/934/169a9a3f.jpg', 'https://file.4pm.ie/934/fafcd890.jpg']","Height: 37.5 (95.5cm), Depth: 12.5 (31.5cm); Materials: Mahogany, Marble; Provenance: Ireland; Features: Inlaid decoration"
879,879 Sold Pair of French Limoges Porcelain Table Lamps - Crca 1890,Recently Sold,5 x,"€1,275.00",No,2,10/05/2018,"['https://file.4pm.ie/711/4804ae26.jpg', 'https://file.4pm.ie/711/cdfea30f.jpg', 'https://file.4pm.ie/711/6b5b9cd8.jpg', 'https://file.4pm.ie/711/151f918a.jpg', 'https://file.4pm.ie/711/c01ba84d.jpg']",Pair of Limoges Hand Painted Table Lamps - Circa 1890. These are a lovely Moon Shaped Pair of French Lamps which were originally Vases but are now converted to electricity. They are in good condition 
880,880 Sold Pair French Regency Period Ormolu Bronze Candlesticks early 19th Ct,Recently Sold,7 x,€775.00,No,2,01/08/2020,"['https://file.4pm.ie/902/56dadd91.jpg', 'https://file.4pm.ie/902/7834e7f3.jpg', 'https://file.4pm.ie/902/1a3c99cf.jpg', 'https://file.4pm.ie/902/ee0290db.jpg', 'https://file.4pm.ie/902/1526e909.jpg', 'https://file.4pm.ie/902/5c48dc35.jpg', 'https://file.4pm.ie/902/f7c130a3.jpg']","Width: 4.5 (11.5cm), Depth: 4.25 (10.5cm); Materials: Bronze, Gold"
881,881 Sold Otto Eichinger (1922-2007) - Austrian - Man with Pipe,Recently Sold,4 x,"€1,950.00",No,2,29/06/2018,"['https://file.4pm.ie/150/b4ad441a.jpg', 'https://file.4pm.ie/150/fa893bbf.jpg', 'https://file.4pm.ie/150/558f8fe5.jpg', 'https://file.4pm.ie/150/cf643d18.jpg']","Width: 12.5 (32cm), Height: 15 (38cm)"
882,882 Victorian Heavy Wrought Iron Lantern - English - Circa 1890,Luxury Table Lamps and Lighting - Antique Lamps,7 x,"€1,150.00",No,1,24/05/2020,"['https://file.4pm.ie/902/ae35636e.jpg', 'https://file.4pm.ie/902/e72bfef1.jpg', 'https://file.4pm.ie/902/7a44ceed.jpg', 'https://file.4pm.ie/902/2b27ad10.jpg', 'https://file.4pm.ie/902/c75d966f.jpg', 'https://file.4pm.ie/902/270566be.jpg', 'https://file.4pm.ie/902/f4ebab76.jpg']","Height: 20 (51cm), Depth: 14 (35.5cm); Materials: Bronze"
883,883 Sold Pair Antique Ormolu Bronze Dore Crystal Three Branch Candelabra French Lusters,Recently Sold,8 x,"€1,675.00",No,2,15/10/2022,"['https://file.4pm.ie/902/d7cf2c80.jpg', 'https://file.4pm.ie/902/85ac351e.jpg', 'https://file.4pm.ie/902/1a23cf9d.jpg', 'https://file.4pm.ie/902/9736de51.jpg', 'https://file.4pm.ie/902/4b028d19.jpg', 'https://file.4pm.ie/902/e09f9473.jpg', 'https://file.4pm.ie/902/58306515.jpg', 'https://file.4pm.ie/902/c8881af9.jpg']","Height: 13.75 (35cm); Materials: Bronze, Gold"
